tagID;animalID;calvingdate;24hoursallowancesup1;24hoursallowancesup2;accumulatedallowancesup1;accumulatedallowancesup2;visitswithin24hours1;visitswithin24hours2;totalvisits1;totalvisits2
578_012345000884;;2018-08-12;120;0;0;0;4;0;16;0
578_012345000879;;2018-08-20;120;0;120;0;4;0;12;0
578_012345000898;Rosa;2018-08-27;100;0;240;0;4;0;8;0
578_012345001234;;2018-09-10;120;0;120;0;4;0;12;0
578_012345000877;;2018-09-22;120;0;30;0;3;0;15;0
578_012345000874;;2018-09-26;120;0;0;0;4;0;16;0
578_012345000831;;2018-10-20;120;0;0;0;4;0;16;0
578_012345000875;;2018-10-29;120;0;120;0;1;0;12;0
578_012345000882;;2018-11-04;120;90;180;0;0;0;10;0
578_012345000001;;2018-11-04;120;0;120;0;2;0;12;0
578_012345000881;;2018-11-12;0;90;0;22;0;4;0;13
578_012345000878;;2018-11-18;0;90;0;22;0;4;0;13
578_012345000883;;2018-11-30;0;90;0;178;0;0;0;7
578_012345000873;;2018-12-01;0;90;0;74;0;3;0;11
578_001234565432;;2018-11-21;100;0;0;0;0;0;0;0
